Business Name,Address,Place ID,Category Query,City
Brightside Aleworks,"480 Center Pl d, Altoona, IA 50009, United States",ChIJU2jRa5qT7ocRSSvYBx3uoq0,brewery,"Urbandale, IA"
Iowa Craft Beer Tent,"Des Moines, IA 50317, United States",ChIJC6PKCw-X7ocRZshQKmCMy5Y,brewery,"Urbandale, IA"
BeerStyles Taproom & Gastropub,"5513 Mills Civic Pkwy, West Des Moines, IA 50266, United States",ChIJxYNt4Dcg7IcR6sNkld8FhKA,brewery,"Urbandale, IA"
Court Avenue Restaurant & Brewing Company,"309 Court Ave, Des Moines, IA 50309, United States",ChIJVfbUl6qZ7ocR5eRaGXDfv6c,brewery,"Urbandale, IA"
Uptown Garage Brewing Co.,"305 SW Walnut St, Ankeny, IA 50023, United States",ChIJ2eMd5WeF7ocRUhXGQHxoKVo,brewery,"Urbandale, IA"
1908 Draught House,"8789 Northpark Dr, Johnston, IA 50131, United States",ChIJP_uTVoGd7ocRH82pmT4Yz1Y,brewery,"Urbandale, IA"
Machine Shed Restaurant Urbandale,"11151 Hickman Rd, Urbandale, IA 50322, United States",ChIJu3g3780g7IcRAh5YCRRtqsw,brewery,"Urbandale, IA"
Iowa Craft Beer Tent,"309 Court Ave, Des Moines, IA 50309, United States",ChIJjYStvaqZ7ocRlEKOGi5aJgw,brewery,"Urbandale, IA"
Tito's Lounge,"3916 NW Urbandale Dr, Urbandale, IA 50322, United States",ChIJAedRiIAn7IcRYQasOoGy9iA,brewery,"Urbandale, IA"
515 Brewing Company,"7700 University Ave Suite C, Clive, IA 50325, United States",ChIJ4fg74T-e7ocRMYam2uOOihM,brewery,"Clive, IA"
Brightside Aleworks,"480 Center Pl d, Altoona, IA 50009, United States",ChIJU2jRa5qT7ocRSSvYBx3uoq0,brewery,"Altoona, IA"
Backpocket Pin and Pixel,"6205 Merle Hay Rd Suite 100, Johnston, IA 50131, United States",ChIJzRGxUkCd7ocRZlXOcMrcmw4,brewery,"Johnston, IA"
Kinship Brewing Company,"255 NW Sunrise Dr, Waukee, IA 50263, United States",ChIJcTCowkAl7IcR5GhziYl-mEc,brewery,"Waukee, IA"
Jasper Winery,"2400 George Flagg Pkwy, Des Moines, IA 50321, United States",ChIJ59xlb8aY7ocRiANr8xlPP9M,winery,"Des Moines, IA"
"Cooper’s Hawk Winery & Restaurants- Clive, IA","12801 University Ave, Clive, IA 50325, United States",ChIJQxv4QUsh7IcRHIrZ0UGdC0Y,winery,"Des Moines, IA"
Summerset Winery,"15101 Fairfax St, Indianola, IA 50125, United States",ChIJLRp_pbe77ocRxDluYhF9NM8,winery,"Des Moines, IA"
Vines to Wines,"684 20th St, Des Moines, IA 50314, United States",ChIJifTDMCKZ7ocRbX4iJD-jv3w,winery,"Des Moines, IA"
"Cooper’s Hawk Winery & Restaurants- Clive, IA","12801 University Ave, Clive, IA 50325, United States",ChIJQxv4QUsh7IcRHIrZ0UGdC0Y,winery,"West Des Moines, IA"
Jasper Winery,"2400 George Flagg Pkwy, Des Moines, IA 50321, United States",ChIJ59xlb8aY7ocRiANr8xlPP9M,winery,"West Des Moines, IA"
"Urban Cellar - Wine Bar, Grille, And Market","640 S 50th St Suite #2110, West Des Moines, IA 50265, United States",ChIJqQNaY9Yh7IcRzqabH1xHcMQ,winery,"West Des Moines, IA"
